pH Level,Moisture Content (%),Organic Matter (%),Drainage Quality,Soil Texture,Suitability
5.9,72,5.5,Good,Loamy,Not Suitable
8.8,26,7.5,Poor,Sandy,Not Suitable
7.7,42,2.0,Poor,Sandy,Not Suitable
7.0,38,2.3,Good,Sandy,Not Suitable
4.8,22,3.4,Good,Loamy,Not Suitable
4.8,55,3.4,Poor,Sandy,Not Suitable
4.3,44,7.6,Good,Loamy,Not Suitable
8.3,15,3.3,Poor,Sandy,Not Suitable
7.0,78,6.7,Good,Clay,Not Suitable
7.5,56,5.4,Good,Sandy,Suitable
4.1,34,6.2,Good,Sandy,Not Suitable
8.8,75,8.5,Poor,Clay,Not Suitable
8.2,19,4.6,Good,Loamy,Not Suitable
5.1,65,7.9,Poor,Loamy,Not Suitable
4.9,39,4.8,Poor,Sandy,Not Suitable
4.9,14,4.2,Poor,Clay,Not Suitable
5.5,42,9.6,Poor,Loamy,Not Suitable
6.6,74,2.7,Good,Sandy,Not Suitable
6.2,27,1.8,Poor,Clay,Not Suitable
5.5,58,7.9,Poor,Loamy,Not Suitable
7.1,20,1.6,Good,Loamy,Not Suitable
4.7,35,8.5,Poor,Clay,Not Suitable
5.5,72,4.9,Good,Clay,Not Suitable
5.8,68,9.2,Poor,Clay,Not Suitable
6.3,36,7.5,Good,Clay,Suitable
7.9,58,6.5,Poor,Sandy,Not Suitable
5.0,42,9.5,Good,Clay,Not Suitable
6.6,10,4.6,Poor,Loamy,Not Suitable
7.0,30,9.6,Poor,Loamy,Not Suitable
4.2,64,2.2,Good,Sandy,Not Suitable
7.0,15,5.4,Good,Loamy,Not Suitable
4.9,78,3.4,Good,Loamy,Not Suitable
4.3,14,5.9,Good,Clay,Not Suitable
8.7,12,2.5,Poor,Loamy,Not Suitable
8.8,62,8.6,Poor,Sandy,Not Suitable
8.0,32,8.6,Good,Clay,Not Suitable
5.5,62,9.6,Poor,Clay,Not Suitable
4.5,46,2.4,Good,Sandy,Not Suitable
7.4,26,6.6,Good,Clay,Not Suitable
6.2,10,5.3,Poor,Clay,Not Suitable
4.6,60,4.1,Poor,Sandy,Not Suitable
6.5,54,4.2,Poor,Clay,Not Suitable
4.2,13,4.7,Poor,Sandy,Not Suitable
8.5,71,7.3,Poor,Sandy,Not Suitable
5.3,74,6.4,Poor,Loamy,Not Suitable
7.3,41,5.1,Poor,Loamy,Not Suitable
5.6,43,1.7,Good,Clay,Not Suitable
6.6,48,1.7,Good,Clay,Not Suitable
6.7,35,1.0,Good,Sandy,Not Suitable
4.9,43,9.7,Good,Clay,Not Suitable
8.8,63,1.0,Good,Sandy,Not Suitable
7.9,12,1.9,Poor,Sandy,Not Suitable
8.7,59,3.8,Good,Clay,Not Suitable
8.5,21,8.3,Good,Sandy,Not Suitable
7.0,74,9.7,Good,Loamy,Not Suitable
8.6,63,8.1,Good,Clay,Not Suitable
4.4,14,7.2,Good,Loamy,Not Suitable
5.0,66,5.7,Good,Clay,Not Suitable
4.2,26,1.8,Good,Sandy,Not Suitable
5.6,56,9.6,Poor,Clay,Not Suitable
5.9,32,7.8,Poor,Loamy,Not Suitable
5.4,23,6.8,Good,Sandy,Not Suitable
8.1,75,7.8,Poor,Clay,Not Suitable
5.8,60,7.5,Poor,Clay,Not Suitable
5.4,47,6.7,Poor,Clay,Not Suitable
6.7,73,9.8,Poor,Loamy,Not Suitable
4.7,47,9.1,Good,Loamy,Not Suitable
8.0,59,6.8,Poor,Clay,Not Suitable
4.4,39,7.2,Poor,Sandy,Not Suitable
8.9,60,1.5,Poor,Sandy,Not Suitable
7.9,72,7.0,Good,Loamy,Not Suitable
5.0,61,1.4,Good,Sandy,Not Suitable
4.0,47,6.3,Good,Loamy,Not Suitable
8.1,39,10.0,Good,Clay,Not Suitable
7.5,60,6.0,Good,Loamy,Suitable
7.6,14,5.3,Good,Loamy,Not Suitable
7.9,38,3.8,Good,Clay,Not Suitable
4.4,13,2.1,Poor,Sandy,Not Suitable
5.8,19,7.6,Poor,Loamy,Not Suitable
4.6,65,2.7,Poor,Loamy,Not Suitable
8.3,26,2.0,Good,Clay,Not Suitable
7.1,26,4.8,Good,Sandy,Not Suitable
5.7,78,8.2,Good,Loamy,Not Suitable
4.3,43,7.7,Good,Clay,Not Suitable
5.6,15,1.5,Good,Loamy,Not Suitable
5.6,62,5.1,Poor,Clay,Not Suitable
7.6,75,5.7,Poor,Sandy,Not Suitable
7.2,52,6.8,Good,Sandy,Suitable
8.4,32,6.9,Good,Sandy,Not Suitable
6.4,64,4.3,Good,Sandy,Not Suitable
4.6,25,6.0,Good,Loamy,Not Suitable
7.6,17,5.3,Poor,Loamy,Not Suitable
7.8,13,9.0,Good,Sandy,Not Suitable
6.8,13,5.8,Good,Sandy,Not Suitable
7.9,65,5.0,Good,Sandy,Not Suitable
6.5,34,4.6,Good,Loamy,Suitable
6.6,76,6.2,Poor,Sandy,Not Suitable
6.1,76,8.2,Good,Sandy,Not Suitable
4.1,36,5.8,Good,Sandy,Not Suitable
4.5,41,7.0,Poor,Clay,Not Suitable
4.2,59,7.6,Poor,Sandy,Not Suitable
7.2,70,5.7,Poor,Clay,Not Suitable
5.6,60,4.8,Good,Clay,Not Suitable
6.5,28,8.9,Good,Sandy,Not Suitable
8.5,30,4.8,Poor,Clay,Not Suitable
5.2,14,5.2,Poor,Sandy,Not Suitable
6.1,51,9.9,Poor,Loamy,Not Suitable
7.8,70,1.0,Poor,Loamy,Not Suitable
5.1,31,2.7,Poor,Loamy,Not Suitable
4.4,30,4.5,Poor,Loamy,Not Suitable
5.4,79,9.4,Good,Clay,Not Suitable
4.8,10,1.6,Good,Sandy,Not Suitable
8.6,14,1.1,Good,Sandy,Not Suitable
8.0,21,1.5,Poor,Sandy,Not Suitable
7.2,55,1.8,Poor,Loamy,Not Suitable
8.4,43,1.3,Poor,Loamy,Not Suitable
8.0,58,5.3,Poor,Sandy,Not Suitable
4.9,54,6.2,Poor,Loamy,Not Suitable
8.5,36,3.4,Poor,Sandy,Not Suitable
6.7,35,4.6,Good,Sandy,Suitable
8.0,56,1.8,Good,Sandy,Not Suitable
8.5,65,4.0,Poor,Sandy,Not Suitable
5.6,72,5.7,Good,Sandy,Not Suitable
4.6,57,7.6,Poor,Sandy,Not Suitable
5.1,70,1.0,Good,Sandy,Not Suitable
6.1,35,5.2,Poor,Loamy,Not Suitable
8.1,45,3.7,Poor,Sandy,Not Suitable
8.3,10,8.7,Good,Sandy,Not Suitable
4.0,17,7.4,Good,Loamy,Not Suitable
6.6,61,6.3,Poor,Loamy,Not Suitable
6.1,56,3.5,Poor,Loamy,Not Suitable
5.1,65,9.2,Good,Sandy,Not Suitable
4.6,23,1.4,Good,Clay,Not Suitable
5.7,37,2.0,Poor,Clay,Not Suitable
8.7,11,4.5,Good,Loamy,Not Suitable
5.6,35,2.1,Poor,Clay,Not Suitable
6.6,23,9.6,Poor,Loamy,Not Suitable
7.5,68,8.2,Poor,Sandy,Not Suitable
5.8,65,3.3,Poor,Clay,Not Suitable
8.9,16,6.3,Good,Sandy,Not Suitable
8.8,12,9.8,Good,Clay,Not Suitable
5.3,32,9.0,Good,Sandy,Not Suitable
6.5,27,6.4,Good,Clay,Not Suitable
5.5,47,9.1,Good,Sandy,Not Suitable
5.4,24,9.9,Good,Sandy,Not Suitable
4.2,73,7.7,Good,Clay,Not Suitable
7.0,37,1.6,Poor,Sandy,Not Suitable
6.5,48,4.6,Good,Sandy,Suitable
4.3,66,8.5,Good,Sandy,Not Suitable
5.4,26,3.1,Poor,Clay,Not Suitable
8.5,53,8.5,Good,Clay,Not Suitable
5.2,34,2.1,Good,Sandy,Not Suitable
4.7,26,1.4,Poor,Sandy,Not Suitable
6.4,22,4.5,Good,Clay,Not Suitable
8.9,34,1.3,Good,Clay,Not Suitable
5.2,77,9.6,Good,Sandy,Not Suitable
7.4,19,8.4,Poor,Sandy,Not Suitable
7.8,76,8.2,Good,Sandy,Not Suitable
5.2,27,6.7,Good,Loamy,Not Suitable
7.6,43,2.9,Poor,Clay,Not Suitable
5.8,17,5.7,Good,Loamy,Not Suitable
7.2,49,6.4,Poor,Clay,Not Suitable
7.2,51,5.7,Poor,Clay,Not Suitable
6.7,50,3.3,Good,Clay,Suitable
4.5,15,5.6,Poor,Clay,Not Suitable
8.2,61,5.4,Poor,Clay,Not Suitable
5.6,35,10.0,Good,Clay,Not Suitable
4.9,73,9.1,Poor,Clay,Not Suitable
4.2,68,5.2,Poor,Loamy,Not Suitable
7.0,65,6.6,Good,Sandy,Not Suitable
7.4,68,7.7,Good,Sandy,Not Suitable
4.1,79,1.3,Good,Loamy,Not Suitable
6.6,42,9.1,Poor,Loamy,Not Suitable
5.1,62,8.7,Good,Loamy,Not Suitable
7.2,31,5.1,Poor,Loamy,Not Suitable
4.9,30,4.5,Poor,Clay,Not Suitable
7.5,79,3.5,Poor,Sandy,Not Suitable
5.9,79,5.3,Poor,Clay,Not Suitable
8.7,13,1.4,Poor,Sandy,Not Suitable
4.7,71,8.7,Poor,Sandy,Not Suitable
5.7,71,1.3,Poor,Loamy,Not Suitable
4.6,33,4.0,Good,Clay,Not Suitable
8.6,64,9.4,Good,Loamy,Not Suitable
8.4,18,7.6,Poor,Clay,Not Suitable
5.3,12,3.5,Poor,Sandy,Not Suitable
7.3,40,3.3,Good,Loamy,Suitable
8.1,49,1.0,Poor,Loamy,Not Suitable
6.8,45,7.3,Good,Sandy,Suitable
6.6,33,1.4,Good,Sandy,Not Suitable
5.2,15,5.8,Good,Sandy,Not Suitable
4.5,75,9.7,Poor,Loamy,Not Suitable
8.5,13,2.0,Poor,Clay,Not Suitable
8.5,15,9.1,Good,Loamy,Not Suitable
7.2,60,9.9,Good,Clay,Suitable
5.7,71,1.6,Good,Loamy,Not Suitable
5.7,66,8.9,Good,Loamy,Not Suitable
7.6,75,5.6,Good,Sandy,Not Suitable
8.5,17,9.2,Poor,Clay,Not Suitable
8.4,35,6.1,Good,Loamy,Not Suitable
7.9,60,7.0,Poor,Loamy,Not Suitable
7.2,54,5.9,Good,Sandy,Suitable
4.4,53,8.8,Poor,Sandy,Not Suitable
4.8,14,7.6,Poor,Clay,Not Suitable
8.5,79,5.7,Poor,Loamy,Not Suitable
7.0,35,8.8,Poor,Clay,Not Suitable
4.0,77,3.2,Poor,Loamy,Not Suitable
4.5,28,2.4,Poor,Clay,Not Suitable
7.3,29,2.4,Good,Sandy,Not Suitable
4.0,21,4.0,Poor,Loamy,Not Suitable
4.8,56,3.1,Good,Clay,Not Suitable
6.7,10,9.4,Poor,Sandy,Not Suitable
7.5,23,2.0,Poor,Sandy,Not Suitable
7.3,73,7.3,Good,Clay,Not Suitable
5.1,47,2.7,Poor,Loamy,Not Suitable
7.6,46,8.9,Good,Loamy,Not Suitable
5.2,20,9.7,Good,Sandy,Not Suitable
5.6,12,5.2,Good,Loamy,Not Suitable
7.7,42,8.9,Good,Loamy,Not Suitable
7.2,15,1.0,Poor,Loamy,Not Suitable
8.2,59,8.4,Poor,Sandy,Not Suitable
7.3,19,3.1,Good,Clay,Not Suitable
6.8,14,9.2,Poor,Loamy,Not Suitable
4.5,32,1.0,Poor,Sandy,Not Suitable
5.8,19,6.0,Good,Sandy,Not Suitable
5.3,53,7.8,Poor,Clay,Not Suitable
5.2,11,3.3,Good,Loamy,Not Suitable
8.9,22,2.7,Good,Loamy,Not Suitable
6.0,49,1.8,Poor,Clay,Not Suitable
8.5,11,3.9,Poor,Clay,Not Suitable
7.2,74,6.0,Poor,Sandy,Not Suitable
8.0,72,2.0,Good,Sandy,Not Suitable
